Date,Sales
2021-01-01,120
2021-02-01,135
2021-03-01,142
2021-04-01,150
2021-05-01,165
2021-06-01,172
2021-07-01,180
2021-08-01,175
2021-09-01,168
2021-10-01,185
2021-11-01,210
2021-12-01,235
2022-01-01,130
2022-02-01,145
2022-03-01,155
2022-04-01,162
2022-05-01,178
2022-06-01,185
2022-07-01,195
2022-08-01,190
2022-09-01,182
2022-10-01,200
2022-11-01,225
2022-12-01,250
2023-01-01,142
2023-02-01,158
2023-03-01,168
2023-04-01,176
2023-05-01,192
2023-06-01,200
2023-07-01,210
2023-08-01,205
2023-09-01,198
2023-10-01,215
2023-11-01,240
2023-12-01,270
2024-01-01,155
2024-02-01,172
2024-03-01,182
2024-04-01,190
2024-05-01,207
2024-06-01,215
2024-07-01,225
2024-08-01,220
2024-09-01,212
2024-10-01,230
2024-11-01,255
2024-12-01,290
2025-01-01,170
2025-02-01,188
2025-03-01,198
2025-04-01,207
2025-05-01,224
2025-06-01,233
2025-07-01,243
2025-08-01,238
2025-09-01,230
2025-10-01,248
2025-11-01,275
2025-12-01,310
